gene,PanCancer_Core_Fitness,bagel_essential_curated,Ribosomal_Proteins,DNA_replication,RNA_polymerase,Proteasome,Spliceosome,Histones
CDC27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CKAP5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ERH,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FAM86B1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NARS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLR2A,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
POLR2B,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
POLR2F,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PRPF38A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PSMB3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PSMC6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RAN,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPA1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
RPL11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL14,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL18A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS11,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS19,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS23,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RRM1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SF3B3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SF3B5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SMU1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SNRPA1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SNRPD3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SNRPE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SRSF3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
THOC2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UBL5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDC16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDC7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDK1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHEK1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CSE1L,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EFTUD2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
EIF4A3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GINS1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HIST1H2BB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
HNRNPK,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIF11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LSM5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLK1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLR2C,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
POLR2L,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PSMA2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PSMC3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PUF60,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL10A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL12,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL21,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL27A,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL31,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL32,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL36,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL37A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS12,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS28,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
